50.2326;91.4841;97.8918
50.7143;92.1807;96.0301
50.7143;91.6123;97.6762
50.7143;91.4296;97.5033
49.1566;91.3126;97.3931
49.7561;91.5683;97.3413
49.6296;91.9957;96.9817
49.8795;91.7652;96.8595
49.7561;91.1943;97.1583
50.3704;91.3659;97.5849
52.0408;92.0518;98.9188
51.6832;92.2429;98.2999
51;91.865;99.2667
51.6;91.0905;99.9505
51.5152;91.9129;98.5809
51.5152;91.9789;99.0628
51.5152;92.2471;98.8246
51.5152;90.4623;100.918
51.5152;92.5454;97.9377
51.6;91.5191;98.8775
52;84.9711;107.92
52;84.7224;106.861
52.5843;84.0851;109.136
52.4138;84.254;108.344
52.6667;84.1922;108.813
52.5843;84.5688;107.866
52.7473;83.6894;108.622
52.5;84.6052;108.901
52.5843;84.5608;107.84
52.6667;83.9911;108.608
52.7473;88.1009;102.166
52.1739;88.7109;102.915
52.7473;87.1308;104.103
52.1739;88.4948;102.413
52.7473;87.0051;104.148
52.1739;88.2579;103.443
52.1739;88.1483;102.178
52.7473;87.2361;103.902
52.7473;88.1807;102.797
52.0879;89.3794;101.519
53.0526;84.4273;57.5682
53.0526;84.4273;57.5682
53.0526;84.4273;57.5682
51.6129;94.7838;70.1006
51.6129;94.7838;70.1006
51.6129;94.7838;70.1006
50.9677;89.8252;68.1456
50.9677;89.8252;68.1456
50.9677;89.8252;68.1456
48.9908;125.561;64.823
48.9908;125.561;64.823
48.9908;125.561;64.823
50.2703;103.719;85.5975
50.2703;103.719;85.5975
50.2703;103.719;85.5975
50.4545;83.6421;78.257
50.4545;83.6421;78.257
50.4545;83.6421;78.257
48.2609;74.1736;76.0329
48.2609;74.1736;76.0329
48.2609;74.1736;76.0329
52.987;125.772;53.6625
52.987;125.772;53.6625
52.987;125.772;53.6625
53.5878;60.3865;34.0741
53.5878;60.3865;34.0741
53.5878;60.3865;34.0741
48.3117;105.679;67.743
48.3117;105.679;67.743
48.3117;105.679;67.743
